121.83142328262329  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
121.90088725090027  : ->FOC     : 20 02 02 | 05 08
122.01665186882019  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
122.11237478256226  : ->BMS     : 31 02 02 | 2d 0f
122.1336555480957   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
122.2074065208435   : ->FOC     : 20 02 02 | 05 08
122.32149267196655  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
122.40668749809265  : ->BMS     : 31 02 02 | 2d 0f
122.43837976455688  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
122.50171685218811  : ->FOC     : 20 02 02 | 05 08
122.62530899047852  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
122.71572589874268  : ->BMS     : 31 02 02 | 2d 0f
122.74518513679504  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
122.80358457565308  : ->FOC     : 20 02 02 | 05 08
122.92298436164856  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
123.01083636283875  : ->BMS     : 31 02 02 | 2d 0f
123.03207111358643  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
123.10616087913513  : ->FOC     : 20 02 02 | 05 08
123.22190403938293  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
123.30730485916138  : ->BMS     : 31 02 02 | 2d 0f
123.33914875984192  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
123.40235090255737  : ->FOC     : 20 02 02 | 05 08
123.52439403533936  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
123.61463260650635  : ->BMS     : 31 02 02 | 2d 0f
123.63589453697205  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
123.70640325546265  : ->FOC     : 20 02 02 | 05 08
123.82304358482361  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
123.91917681694031  : ->BMS     : 31 02 02 | 2d 0f
123.94078016281128  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
124.00546288490295  : ->FOC     : 20 02 02 | 05 08
124.12715315818787  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
124.2119972705841   : ->BMS     : 31 02 02 | 2d 0f
124.24382495880127  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
124.31023287773132  : ->FOC     : 20 02 02 | 05 08
124.42069268226624  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
124.50613975524902  : ->BMS     : 31 02 02 | 2d 0f
124.53865790367126  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
124.61199569702148  : ->FOC     : 20 02 02 | 05 08
124.72357130050659  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
124.81459522247314  : ->BMS     : 31 02 02 | 2d 0f
124.83586430549622  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
124.91264200210571  : ->FOC     : 20 02 02 | 05 08
125.03071928024292  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
125.11707496643066  : ->BMS     : 31 02 02 | 2d 0f
125.1384825706482   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
125.21340894699097  : ->FOC     : 20 02 02 | 05 08
125.3268563747406   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
125.41184639930725  : ->BMS     : 31 02 02 | 2d 0f
125.44366431236267  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
125.510178565979    : ->FOC     : 20 02 02 | 05 08
125.6285252571106   : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
125.71629905700684  : ->BMS     : 31 02 02 | 2d 0f
125.74815201759338  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
125.81082344055176  : ->FOC     : 20 02 02 | 05 08
125.93100786209106  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
126.01182246208191  : ->BMS     : 31 02 02 | 2d 0f
126.0437548160553   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
126.11221194267273  : ->FOC     : 20 02 02 | 05 08
126.22991871833801  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
126.31656551361084  : ->BMS     : 31 02 02 | 2d 0f
126.34896636009216  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
126.41296696662903  : ->FOC     : 20 02 02 | 05 08
126.53691148757935  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
126.62241387367249  : ->BMS     : 31 02 02 | 2d 0f
126.64358329772949  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
126.71225047111511  : ->FOC     : 20 02 02 | 05 08
126.82787775993347  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
126.92237639427185  : ->BMS     : 31 02 02 | 2d 0f
126.9436285495758   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
127.01771926879883  : ->FOC     : 20 02 02 | 05 08
127.13171672821045  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
127.22240948677063  : ->BMS     : 31 02 02 | 2d 0f
127.2436671257019   : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
127.31931352615356  : ->FOC     : 20 02 02 | 05 08
127.43010950088501  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc be
127.52248358726501  : ->BMS     : 31 02 02 | 2d 0f
127.54394483566284  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
127.61827182769775  : ->FOC     : 20 02 02 | 05 08
127.73761367797852  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc 6f
127.81914186477661  : ->BMS     : 31 02 02 | 2d 0f
127.85416960716248  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
127.92803692817688  : ->FOC     : 20 02 02 | 05 08
128.03308534622192  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc 6f
128.12375020980835  : ->BMS     : 31 02 02 | 2d 0f
128.16135907173157  : <-BMS     : 31 82 0f | 02 15 00 00 00 01 64 00 00 00 1c 1c 1c 1c 1c
128.22860169410706  : ->FOC     : 20 02 02 | 05 08
128.33238816261292  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc 6f
128.4282169342041   : ->BMS     : 31 02 02 | 2d 0f
128.44945573806763  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
128.52995204925537  : ->FOC     : 20 02 02 | 05 08
128.63558197021484  : ->Dash    : 10 04 0f | 82 00 01 00 1e 40 00 00 00 00 64 00 cc cc 6f
128.72031474113464  : ->BMS     : 31 02 02 | 2d 0f
128.75240969657898  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1c 1c 1c 1c 1c
128.82547450065613  : ->FOC     : 20 02 02 | 05 08
