37.44546985626221   : <-Dash    : 10 84 01 | 01
37.53023076057434   : ->FOC     : 20 02 02 | 05 09
37.56271576881409   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
37.647411584854126  : ->BMS     : 31 02 02 | 02 2b
37.68919491767883   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
37.78922486305237   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
37.82057857513428   : <-Dash    : 10 84 01 | 01
37.905131101608276  : ->FOC     : 20 02 02 | 05 09
37.93687415122986   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
38.03147268295288   : ->unknown : 70 02 02 | 20 06
38.16869592666626   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
38.190470695495605  : <-Dash    : 10 84 01 | 01
38.28587818145752   : ->FOC     : 20 02 02 | 05 09
38.3179771900177    : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
38.413546085357666  : ->BMS     : 31 02 02 | 2d 0f
38.435057163238525  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
38.551849126815796  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
38.573153018951416  : <-Dash    : 10 84 01 | 01
38.66947817802429   : ->FOC     : 20 02 02 | 05 09
38.691014766693115  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
38.8124635219574    : ->unknown : 70 02 02 | 20 06
38.930678367614746  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
38.95148587226868   : <-Dash    : 10 84 01 | 01
39.046387672424316  : ->FOC     : 20 02 02 | 05 09
39.07834482192993   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
39.1620237827301    : ->BMS     : 31 02 02 | 3c 28
39.20717692375183   : <-BMS     : 31 82 28 | 0e a0 0e a1 0e a0 0e a4 0e a4 0e 9e 0e a3 0e a4 0e a4 0e 93 0e a0 0e a8 0e a6 00 00 00 00 00 00 00 00 00 00 00 00 00 00
39.310216426849365  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
39.351380348205566  : <-Dash    : 10 84 01 | 01
39.424736738204956  : ->FOC     : 20 02 02 | 05 09
39.44599628448486   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
39.54100155830383   : ->BMS     : 31 02 02 | 02 2b
39.58297085762024   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
