64.78277111053467   : <-Dash    : 10 84 01 | 01
64.8455057144165    : ->unknown : 70 02 02 | 20 06
64.9489004611969    : ->FOC     : 20 02 02 | 05 08
64.96998429298401   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.06306028366089   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
65.10431432723999   : <-Dash    : 10 84 01 | 01
65.15632677078247   : ->BMS     : 31 02 02 | 2d 0f
65.17741107940674   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
65.25124382972717   : ->FOC     : 20 02 02 | 05 08
65.28313827514648   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.36737942695618   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
65.4089207649231    : <-Dash    : 10 84 01 | 01
65.46136522293091   : ->unknown : 70 02 02 | 20 06
65.55609846115112   : ->FOC     : 20 02 02 | 05 08
65.58773946762085   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.67198872566223   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
65.70395731925964   : <-Dash    : 10 84 01 | 01
65.76707053184509   : ->BMS     : 31 02 02 | 2d 0f
65.78834414482117   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
65.8621940612793    : ->FOC     : 20 02 02 | 05 08
65.88343238830566   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
65.97700667381287   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
66.00816416740417   : <-Dash    : 10 84 01 | 01
66.07068252563477   : ->unknown : 70 02 02 | 20 06
66.16385674476624   : ->FOC     : 20 02 02 | 05 08
66.19514012336731   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
66.28941679000854   : ->Dash    : 10 04 0f | 86 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 43
66.31015682220459   : <-Dash    : 10 84 01 | 01
66.37305212020874   : ->BMS     : 31 02 02 | 2d 0f
66.40441250801086   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
66.47743272781372   : ->FOC     : 20 02 02 | 05 08
66.49900960922241   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
66.59334135055542   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
66.63570237159729   : <-Dash    : 10 84 01 | 01
66.67791676521301   : ->unknown : 70 02 02 | 20 06
66.78324317932129   : ->FOC     : 20 02 02 | 05 08
66.80435156822205   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
66.89873814582825   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
66.930020570755     : <-Dash    : 10 84 01 | 01
66.98244905471802   : ->BMS     : 31 02 02 | 2d 0f
67.01395034790039   : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 00 00 19 19 19 19 19
67.08580493927002   : ->FOC     : 20 02 02 | 05 08
67.10689210891724   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
67.20051884651184   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
67.23152899742126   : <-Dash    : 10 84 01 | 01
67.28375005722046   : ->unknown : 70 02 02 | 20 06
67.38899564743042   : ->FOC     : 20 02 02 | 05 08
67.41014432907104   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
67.50268220901489   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
67.53463220596313   : <-Dash    : 10 84 01 | 01
67.58727979660034   : ->BMS     : 31 02 02 | 2d 0f
67.61883568763733   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
67.69236636161804   : ->FOC     : 20 02 02 | 05 08
67.72407627105713   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
67.80790829658508   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
67.83960700035095   : <-Dash    : 10 84 01 | 01
67.89244818687439   : ->unknown : 70 02 02 | 20 06
67.99739980697632   : ->FOC     : 20 02 02 | 05 08
68.02834844589233   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
68.11275744438171   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
68.14389038085938   : <-Dash    : 10 84 01 | 01
68.20620036125183   : ->BMS     : 31 02 02 | 2d 0f
68.22733187675476   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
68.29997658729553   : ->FOC     : 20 02 02 | 05 08
68.33165311813354   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
68.42572355270386   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
68.4466073513031    : <-Dash    : 10 84 01 | 01
68.50946545600891   : ->unknown : 70 02 02 | 20 06
68.6152286529541    : ->FOC     : 20 02 02 | 05 08
68.63630509376526   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
68.73073649406433   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
68.77291440963745   : <-Dash    : 10 84 01 | 01
68.81504845619202   : ->BMS     : 31 02 02 | 2d 0f
68.84607458114624   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
68.90958285331726   : ->FOC     : 20 02 02 | 05 08
68.94115018844604   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
69.03579306602478   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
69.06768774986267   : <-Dash    : 10 84 01 | 01
69.12040328979492   : ->unknown : 70 02 02 | 20 06
69.22404789924622   : ->FOC     : 20 02 02 | 05 08
69.24496388435364   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
69.33842968940735   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
69.36975264549255   : <-Dash    : 10 84 01 | 01
69.42121028900146   : ->BMS     : 31 02 02 | 2d 0f
69.45241951942444   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
69.52565622329712   : ->FOC     : 20 02 02 | 05 08
