35.961050510406494  : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
35.99317932128906   : <-Dash    : 10 84 01 | 01
36.08312511444092   : ->FOC     : 20 02 02 | 05 08
36.111881256103516  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
36.207141637802124  : ->unknown : 70 02 02 | 20 06
36.335124492645264  : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
36.367220878601074  : <-Dash    : 10 84 01 | 01
36.458043813705444  : ->FOC     : 20 02 02 | 05 08
36.47925162315369   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
36.57287096977234   : ->BMS     : 31 02 02 | 3c 28
36.61336016654968   : <-BMS     : 31 82 28 | 10 07 10 0c 10 0a 10 0d 10 0d 10 09 10 0f 10 0f 10 0f 0f f8 10 0d 10 11 10 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00
36.71894884109497   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
36.740071058273315  : <-Dash    : 10 84 01 | 01
36.82706689834595   : ->FOC     : 20 02 02 | 05 08
36.85901927947998   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
36.94833970069885   : ->BMS     : 31 02 02 | 02 2b
36.9905104637146    : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
37.09651041030884   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
37.11828637123108   : <-Dash    : 10 84 01 | 01
37.202479124069214  : ->FOC     : 20 02 02 | 05 08
37.22954726219177   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
37.32316780090332   : ->unknown : 70 02 02 | 20 06
