18.284714221954346  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
18.305891513824463  : ->FOC     : 20 05 02 | 1c 86
18.423518180847168  : ->BMS     : 31 02 02 | 2d 0f
18.558839321136475  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
18.58011746406555   : <-Dash    : 10 84 01 | 01
18.601341724395752  : ->FOC     : 20 01 01 | 03
18.63292360305786   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
18.664765119552612  : ->FOC     : 20 05 02 | 1c 86
18.78238534927368   : ->BMS     : 31 02 02 | 2d 0f
18.9137179851532    : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
18.935088396072388  : <-Dash    : 10 84 01 | 01
18.956220388412476  : ->FOC     : 20 01 01 | 03
19.003443479537964  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
19.02856469154358   : ->FOC     : 20 05 02 | 1c 86
19.13012981414795   : ->BMS     : 31 02 02 | 2d 0f
19.26544189453125   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
19.28682041168213   : <-Dash    : 10 84 01 | 01
19.30765438079834   : ->FOC     : 20 01 01 | 03
19.339089393615723  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
19.37089490890503   : ->FOC     : 20 05 02 | 1c 86
19.482646226882935  : ->BMS     : 31 02 02 | 2d 0f
19.620867013931274  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
19.64233899116516   : <-Dash    : 10 84 01 | 01
19.66337823867798   : ->FOC     : 20 01 01 | 03
19.694828271865845  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
19.716649532318115  : ->FOC     : 20 05 02 | 1c 86
19.83348298072815   : ->BMS     : 31 02 02 | 2d 0f
