30.4516179561615    : ->FOC     : 20 01 01 | 03
37.092928409576416  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
37.187010288238525  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
37.19783616065979   : <-Dash    : 10 84 01 | ce
37.2714946269989    : ->BMS     : 31 02 02 | 2d 0f
37.30247974395752   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
37.3768584728241    : ->FOC     : 20 02 02 | 05 08
37.39846706390381   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
37.48591351509094   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
37.496524810791016  : <-Dash    : 10 84 01 | ce
37.5703227519989    : ->BMS     : 31 02 02 | 2d 0f
37.60291934013367   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
37.67753052711487   : ->FOC     : 20 02 02 | 05 08
37.699244260787964  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
37.784929513931274  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
37.7955162525177    : <-Dash    : 10 84 01 | ce
37.86956834793091   : ->BMS     : 31 02 02 | 2d 0f
37.90161085128784   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
37.976232051849365  : ->FOC     : 20 02 02 | 05 08
37.99774694442749   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
38.08409833908081   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
38.09497094154358   : <-Dash    : 10 84 01 | ce
38.16927790641785   : ->BMS     : 31 02 02 | 2d 0f
38.20102095603943   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
38.27655529975891   : ->FOC     : 20 02 02 | 05 08
38.29767632484436   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
38.39224338531494   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
38.402955532073975  : <-Dash    : 10 84 01 | ce
38.476465940475464  : ->BMS     : 31 02 02 | 2d 0f
38.508246421813965  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
38.57133722305298   : ->FOC     : 20 02 02 | 05 08
38.60404872894287   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
38.68982148170471   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
38.70070004463196   : <-Dash    : 10 84 01 | ce
38.77537679672241   : ->BMS     : 31 02 02 | 2d 0f
38.80722141265869   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
38.88146686553955   : ->FOC     : 20 02 02 | 05 08
38.903111934661865  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
38.987650871276855  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
39.0431387424469    : <-Dash    : 10 84 01 | ce
39.074947118759155  : ->BMS     : 31 02 02 | 2d 0f
39.10731244087219   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
