40.9006872177124    : <-Dash    : 10 84 01 | 01
40.99163460731506   : ->FOC     : 20 06 01 | 11
41.00226879119873   : <-FOC     : 20 86 00 | 
41.1127610206604    : ->FOC     : 20 02 02 | 05 08
41.134283781051636  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
41.22973918914795   : ->BMS     : 31 02 02 | 02 2b
41.35280156135559   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
41.395609855651855  : <-Dash    : 10 84 01 | 01
41.473867893218994  : ->FOC     : 20 02 02 | 05 08
41.54554104804993   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
41.60126280784607   : ->unknown : 70 02 02 | 20 06
41.71830773353577   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
41.749961614608765  : <-Dash    : 10 84 01 | 01
41.83534908294678   : ->FOC     : 20 02 02 | 05 08
41.86674094200134   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
41.95261859893799   : ->BMS     : 31 02 02 | 2d 0f
42.084768772125244  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
42.12718319892883   : <-Dash    : 10 84 01 | 01
42.2080979347229    : ->FOC     : 20 06 01 | 11
42.21896839141846   : <-FOC     : 20 86 00 | 
42.32465124130249   : ->FOC     : 20 02 02 | 05 08
42.346176862716675  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
42.43119812011719   : ->unknown : 70 02 02 | 20 06
42.564595460891724  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
42.60792922973633   : <-Dash    : 10 84 01 | 01
42.680574893951416  : ->FOC     : 20 02 02 | 05 08
42.71236705780029   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
42.79728412628174   : ->BMS     : 31 02 02 | 3c 28
42.93265986442566   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
42.95410966873169   : <-Dash    : 10 84 01 | 01
43.05433392524719   : ->FOC     : 20 02 02 | 05 08
43.07578945159912   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
43.16382431983948   : ->BMS     : 31 02 02 | 02 2b
43.29699730873108   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
43.329949617385864  : <-Dash    : 10 84 01 | 01
43.41046738624573   : ->FOC     : 20 06 01 | 11
43.42086315155029   : <-FOC     : 20 86 00 | 
43.53344440460205   : ->FOC     : 20 02 02 | 05 08
43.55484318733215   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
43.64004826545715   : ->unknown : 70 02 02 | 20 06
43.77209663391113   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
43.80642557144165   : <-Dash    : 10 84 01 | 01
43.9018452167511    : ->FOC     : 20 02 02 | 05 08
43.92336893081665   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
44.00817513465881   : ->BMS     : 31 02 02 | 2d 0f
44.14118552207947   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
44.16285538673401   : <-Dash    : 10 84 01 | 01
44.25806546211243   : ->FOC     : 20 02 02 | 05 08
44.40469789505005   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
44.40469789505005   : ->unknown : 70 02 02 | 20 06
44.50701856613159   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
44.538830041885376  : <-Dash    : 10 84 01 | 01
44.618518590927124  : ->FOC     : 20 06 01 | 11
44.62914156913757   : <-FOC     : 20 86 00 | 
44.73609900474548   : ->FOC     : 20 02 02 | 05 08
44.768352031707764  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
44.848750591278076  : ->BMS     : 31 02 02 | 3c 28
44.98853135108948   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
45.00994420051575   : <-Dash    : 10 84 01 | 01
45.10342574119568   : ->FOC     : 20 02 02 | 05 08
45.12608742713928   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 80 00
45.217567443847656  : ->BMS     : 31 02 02 | 02 2b
45.33988952636719   : ->Dash    : 10 04 0f | 02 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
45.36131978034973   : <-Dash    : 10 84 01 | 01
45.46717166900635   : ->FOC     : 20 02 02 | 05 08
45.48893618583679   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 80 00
45.573464155197144  : ->unknown : 70 02 02 | 20 06
45.70462417602539   : ->Dash    : 10 04 0f | 02 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
45.74726176261902   : <-Dash    : 10 84 01 | 01
45.82418990135193   : ->FOC     : 20 06 01 | 11
45.83505344390869   : <-FOC     : 20 86 00 | 
45.939342737197876  : ->FOC     : 20 02 02 | 05 08
45.971245765686035  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 80 00
46.06341290473938   : ->BMS     : 31 02 02 | 2d 0f
46.19082975387573   : ->Dash    : 10 04 0f | 02 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
46.22304844856262   : <-Dash    : 10 84 01 | 01
46.303818225860596  : ->FOC     : 20 02 02 | 05 08
46.32513475418091   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 80 00
46.41520833969116   : ->unknown : 70 02 02 | 20 06
46.54410171508789   : ->Dash    : 10 04 0f | 02 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
46.56601619720459   : <-Dash    : 10 84 01 | 01
46.66164803504944   : ->FOC     : 20 02 02 | 05 08
46.682944774627686  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
46.77347373962402   : ->BMS     : 31 02 02 | 3c 28
46.90460920333862   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
46.947237968444824  : <-Dash    : 10 84 01 | 01
47.02389717102051   : ->FOC     : 20 06 01 | 11
47.0347113609314    : <-FOC     : 20 86 00 | 
47.13340091705322   : ->FOC     : 20 02 02 | 05 08
47.168458700180054  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
47.257421255111694  : ->BMS     : 31 02 02 | 02 2b
47.3805890083313    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
47.43055295944214   : <-Dash    : 10 84 01 | 01
47.504382371902466  : ->FOC     : 20 02 02 | 05 08
47.525787115097046  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
47.615931034088135  : ->unknown : 70 02 02 | 20 06
47.74940371513367   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
47.7709584236145    : <-Dash    : 10 84 01 | 01
47.87216114997864   : ->FOC     : 20 02 02 | 05 08
47.89370322227478   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
47.986104011535645  : ->BMS     : 31 02 02 | 2d 0f
48.1161630153656    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
48.150951623916626  : <-Dash    : 10 84 01 | 01
48.24063420295715   : ->FOC     : 20 06 01 | 11
48.251453161239624  : <-FOC     : 20 86 00 | 
48.35519886016846   : ->FOC     : 20 02 02 | 05 08
48.38728404045105   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
48.47715640068054   : ->unknown : 70 02 02 | 20 06
48.6270956993103    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
48.648616552352905  : <-Dash    : 10 84 01 | 01
48.73484659194946   : ->FOC     : 20 02 02 | 05 08
48.76666235923767   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
48.87934398651123   : ->BMS     : 31 02 02 | 3c 28
48.9950749874115    : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
49.02733039855957   : <-Dash    : 10 84 01 | 01
49.12281274795532   : ->FOC     : 20 02 02 | 05 08
49.14435791969299   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
49.2404248714447    : ->BMS     : 31 02 02 | 02 2b
49.37323975563049   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
49.40587306022644   : <-Dash    : 10 84 01 | 01
49.49154329299927   : ->FOC     : 20 06 01 | 11
49.502320289611816  : <-FOC     : 20 86 00 | 
49.60847854614258   : ->FOC     : 20 02 02 | 05 08
49.63232898712158   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
49.7419159412384    : ->unknown : 70 02 02 | 20 06
49.87208390235901   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
49.903571367263794  : <-Dash    : 10 84 01 | 01
49.98971462249756   : ->FOC     : 20 02 02 | 05 08
50.011274576187134  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
50.111905097961426  : ->BMS     : 31 02 02 | 2d 0f
50.24456024169922   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
50.27701473236084   : <-Dash    : 10 84 01 | 01
50.37046790122986   : ->FOC     : 20 02 02 | 05 08
50.39195942878723   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
50.48448824882507   : ->unknown : 70 02 02 | 20 06
50.627938747406006  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
50.659642696380615  : <-Dash    : 10 84 01 | 01
50.74622845649719   : ->FOC     : 20 06 01 | 11
50.75691246986389   : <-FOC     : 20 86 00 | 
50.86373591423035   : ->FOC     : 20 02 02 | 05 08
50.88524770736694   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
50.9864718914032    : ->BMS     : 31 02 02 | 3c 28
51.120469093322754  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
51.16319274902344   : <-Dash    : 10 84 01 | 01
51.23229932785034   : ->FOC     : 20 02 02 | 05 08
51.26556587219238   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
51.35871863365173   : ->BMS     : 31 02 02 | 02 2b
51.49312901496887   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
51.53609824180603   : <-Dash    : 10 84 01 | 01
51.64404320716858   : ->FOC     : 20 02 02 | 05 08
51.64404320716858   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
51.72957444190979   : ->unknown : 70 02 02 | 20 06
51.86538052558899   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
51.88697528839111   : <-Dash    : 10 84 01 | 01
51.98968291282654   : ->FOC     : 20 06 01 | 11
52.0005202293396    : <-FOC     : 20 86 00 | 
52.10531187057495   : ->FOC     : 20 02 02 | 05 08
52.138519287109375  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
52.23319053649902   : ->BMS     : 31 02 02 | 2d 0f
52.36475706100464   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
52.38640809059143   : <-Dash    : 10 84 01 | 01
52.47920107841492   : ->FOC     : 20 02 02 | 05 08
52.51094341278076   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
52.606581687927246  : ->unknown : 70 02 02 | 20 06
52.73411297798157   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
52.76601719856262   : <-Dash    : 10 84 01 | 01
52.856534004211426  : ->FOC     : 20 02 02 | 05 08
52.877933502197266  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
52.97937607765198   : ->BMS     : 31 02 02 | 3c 28
53.11504006385803   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
53.13822293281555   : <-Dash    : 10 84 01 | 01
53.23556184768677   : ->FOC     : 20 06 01 | 11
53.23556184768677   : <-FOC     : 20 86 00 | 
53.34675717353821   : ->FOC     : 20 02 02 | 05 08
53.37923216819763   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
53.47905707359314   : ->BMS     : 31 02 02 | 02 2b
53.60940647125244   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
53.64124846458435   : <-Dash    : 10 84 01 | 01
53.7262122631073    : ->FOC     : 20 02 02 | 05 08
53.74737524986267   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
53.84383177757263   : ->unknown : 70 02 02 | 20 06
53.97796010971069   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
54.02040076255798   : <-Dash    : 10 84 01 | 01
54.099059104919434  : ->FOC     : 20 02 02 | 05 08
54.120067834854126  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
54.22238206863403   : ->BMS     : 31 02 02 | 2d 0f
54.349029541015625  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
54.397743701934814  : <-Dash    : 10 84 01 | 01
54.479084968566895  : ->FOC     : 20 06 01 | 11
54.479084968566895  : <-FOC     : 20 86 00 | 
54.595553159713745  : ->FOC     : 20 02 02 | 05 08
54.61711573600769   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
54.71229839324951   : ->unknown : 70 02 02 | 20 06
54.85632944107056   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
54.87793040275574   : <-Dash    : 10 84 01 | 01
54.97928476333618   : ->FOC     : 20 02 02 | 05 08
54.99547362327576   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
55.086508989334106  : ->BMS     : 31 02 02 | 3c 28
55.22086787223816   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
55.25300598144531   : <-Dash    : 10 84 01 | 01
55.33926010131836   : ->FOC     : 20 02 02 | 05 08
55.37157106399536   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
55.46795463562012   : ->BMS     : 31 02 02 | 02 2b
55.595134019851685  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
55.63051247596741   : <-Dash    : 10 84 01 | 01
55.71010756492615   : ->FOC     : 20 06 01 | 11
55.72114276885986   : <-FOC     : 20 86 00 | 
55.83375644683838   : ->FOC     : 20 02 02 | 05 08
55.85550665855408   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
55.950488567352295  : ->unknown : 70 02 02 | 20 06
56.09316802024841   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
56.12552070617676   : <-Dash    : 10 84 01 | 01
56.21240949630737   : ->FOC     : 20 02 02 | 05 08
56.23356318473816   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 88 00
56.32369780540466   : ->BMS     : 31 02 02 | 2d 0f
56.464205503463745  : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 00 00 cc cc 00
