17.298877716064453  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
17.34174942970276   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
17.373594522476196  : <-Dash    : 10 84 01 | 01
17.42660880088806   : ->FOC     : 20 02 02 | 05 08
17.448237895965576  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
17.48009157180786   : ->BMS     : 31 02 02 | 2d 0f
17.501029014587402  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
17.54494881629944   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
17.566198110580444  : <-Dash    : 10 84 01 | 01
17.61952567100525   : ->FOC     : 20 02 02 | 05 08
17.652023315429688  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
17.67371439933777   : ->BMS     : 31 02 02 | 2d 0f
17.70737862586975   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
17.750232219696045  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
17.771915197372437  : <-Dash    : 10 84 01 | 01
17.873903274536133  : ->FOC     : 20 02 02 | 05 08
17.873903274536133  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
17.873903274536133  : ->BMS     : 31 02 02 | 2d 0f
17.906972408294678  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
17.942138671875     : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
17.97389316558838   : <-Dash    : 10 84 01 | 01
18.02704620361328   : ->FOC     : 20 02 02 | 05 08
18.05284571647644   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
18.075095176696777  : ->BMS     : 31 02 02 | 2d 0f
18.1073215007782    : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
18.149879693984985  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
18.171710729599     : <-Dash    : 10 84 01 | 01
18.21750497817993   : ->FOC     : 20 02 02 | 05 08
18.252814292907715  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
18.274925470352173  : ->BMS     : 31 02 02 | 2d 0f
18.29893398284912   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
18.34160304069519   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
18.374104261398315  : <-Dash    : 10 84 01 | 01
18.426944732666016  : ->FOC     : 20 02 02 | 05 08
18.4527804851532    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
